Scenario;Area;Period;Sex;Years
SSP1;Chile;2050-2055;Male;88.7
SSP1;Chile;2055-2060;Male;90.3
SSP1;Chile;2060-2065;Male;92
SSP1;Chile;2065-2070;Male;93.5
SSP1;Chile;2070-2075;Male;95
SSP1;Chile;2075-2080;Male;96.3
SSP1;Chile;2080-2085;Male;97.6
SSP1;Chile;2085-2090;Male;98.8
SSP1;Chile;2090-2095;Male;99.8
SSP1;Chile;2095-2100;Male;100.7
SSP1;China;2020-2025;Male;76.2
SSP1;China;2025-2030;Male;77.7
SSP1;China;2030-2035;Male;79.1
SSP1;China;2035-2040;Male;80.5
SSP1;China;2040-2045;Male;81.9
SSP1;China;2045-2050;Male;83.3
SSP1;China;2050-2055;Male;84.7
SSP1;China;2055-2060;Male;86.2
SSP1;China;2060-2065;Male;87.6
SSP1;China;2065-2070;Male;89
SSP1;China;2070-2075;Male;90.4
SSP1;China;2075-2080;Male;91.8
SSP1;China;2080-2085;Male;93.2
SSP1;China;2085-2090;Male;94.6
SSP1;China;2090-2095;Male;95.9
SSP1;China;2095-2100;Male;97.1
SSP1;Colombia;2020-2025;Male;72.7
SSP1;Colombia;2025-2030;Male;76.8
SSP1;Colombia;2030-2035;Male;78.3
SSP1;Colombia;2035-2040;Male;79.8
SSP1;Colombia;2040-2045;Male;81.3
SSP1;Colombia;2045-2050;Male;82.9
SSP1;Colombia;2050-2055;Male;84.4
SSP1;Colombia;2055-2060;Male;85.9
