"iso3","year","conflict","trade","exp_health","exp_edu"
"LVA",2018,0,-1.65054796892233,-1.12142324164692,-0.774742719399663
"LVA",2019,0,-1.67419663404841,-1.03771236455584,-0.735424398589979
"LVA",2020,0,-1.67872242674059,-0.813436153197368,-0.868704172726835
"LVA",2021,0,-1.58122347138261,-0.782451742052768,-1.07272047765511
"LSO",1990,0,-1.84531268587348,-1.09177766134048,0.481435445200032
"LSO",1991,0,-1.86323604266779,-1.11398389019033,0.589400204416287
"LSO",1992,0,-1.66077196653711,-0.826769678749091,-0.15341099431985
"LSO",1993,0,-1.78995186847786,-0.745282130500899,-0.0420118704044817
"LSO",1994,0,-1.68957263167327,-0.952385955339617,-0.0646328111432207
"LSO",1995,0,-1.40452470304575,-1.12667979812244,-0.145539012146491
"LSO",1996,0,-1.56351536304428,-0.921531985141531,-0.102250177584525
"LSO",1997,0,-1.65715700911766,-0.852732469794429,-0.154909011486801
"LSO",1998,1,-1.66196487187717,-0.719622222930866,-0.20454170003422
"LSO",1999,0,-1.48938569791222,-1.29784174318944,-0.0759442660073605
"LSO",2000,0,-1.66731696286171,-0.963706107169891,-0.349074510887432
"LSO",2001,0,-1.63752577973812,-0.935806825980262,-0.282494419363119
"LSO",2002,0,-1.49885259790454,-0.829491250748396,-0.736179759272124
"LSO",2003,0,-1.50634984733807,-1.11816943203568,-0.525938117425357
"LSO",2004,0,-1.70731540354367,-0.636031867594973,-0.605197913554951
"LSO",2005,0,-1.84121780616969,-0.599567146924458,-1.02049463091534
"LSO",2006,0,-1.60222278191682,-0.903905798467559,-0.685257723025732
"LSO",2007,0,-1.34537236979362,-0.799452967741975,-1.14470939363677
"LSO",2008,0,-1.37191233342791,-0.928544538795718,-1.15565892344753
"LSO",2009,0,-1.387202695318,-0.861657228557981,-0.939941175776627
"LSO",2010,0,-1.44885408790714,-0.952791415518013,-0.94590861958544
"LSO",2011,0,-1.45104109308369,-0.736408064523666,-1.08974845190362
"LSO",2012,0,-1.44809576803014,-0.864046376956667,-1.12542342719891
"LSO",2013,0,-1.57322236616249,-0.747559068670829,-1.13310146185605
"LSO",2014,0,-1.6289591043826,-0.778635930928439,-1.09237444429428
"LSO",2015,0,-1.60166981073249,-0.749196981065801,-1.5349592100505
"LSO",2016,0,-1.55892715183328,-0.675310039676731,-1.37904526254119
"LSO",2017,0,-1.47551762903095,-0.605069501348751,-1.6015055916458
"LSO",2018,0,-1.48987547296796,-0.921643002510738,-1.25615356729969
"LSO",2019,0,-1.50615428901073,-0.463211119617117,-1.84781776168498
"LSO",2020,0,-1.52423202388946,-0.559397998840397,-1.82230560108623
"LSO",2021,0,-1.50794765163584,-0.568818972033622,-1.88329064799967
"LBR",1990,1,-2.1611065854805,-0.775523980713315,-1.78202387850424
"LBR",1991,1,-2.19304314341653,-0.749689361830891,-1.62657972998607
"LBR",1992,1,-2.13240207934934,-0.744827776343236,-1.76695962730122
"LBR",1993,1,-2.05523927061933,-0.650960578254955,-1.79396610190877
"LBR",1994,1,-2.15093703409602,-0.66478206658544,-1.79451964130617
"LBR",1995,1,-2.24279062023911,-0.575495104901946,-1.72853054088522
"LBR",1996,1,-2.20909372962786,-0.483291109663784,-1.64862890004043
"LBR",1997,1,-2.16992705391522,-0.661916646416325,-1.76892604126266
"LBR",1998,0,-2.01546170227924,-0.827070730754682,-1.78366372380499
"LBR",1999,1,-2.15584643507834,-0.51639196869271,-1.79602489200608
"LBR",2000,1,-1.86116330375754,-0.846811006785839,-1.71400956637784
"LBR",2001,1,-2.11437863168067,-0.626410183789859,-1.6932054904748
"LBR",2002,1,-2.13127388698304,-0.622396742471989,-1.71329523307176
"LBR",2003,1,-2.18858546425614,-0.427318720003629,-1.79566080110388
"LBR",2004,0,-2.26402922850107,-0.483324788635537,-1.84651472493685
"LBR",2005,0,-2.09840327614462,-0.806647598005873,-1.53407459087975
"LBR",2006,0,-2.20975980604235,-0.665528005801454,-1.40358377814225
"LBR",2007,0,-2.22371173961395,-0.481702813957664,-1.5934068111008
"LBR",2008,0,-2.15243241659035,-0.579648438189846,-1.64182892859423
"LBR",2009,0,-2.20418700941059,-0.488116088407941,-1.5974405699475
"LBR",2010,0,-2.03328629301646,-0.463125371479337,-1.71078539459513
"LBR",2011,0,-2.21785992492462,-0.487156886912591,-1.59166340944973
"LBR",2012,0,-1.8744343479581,-0.863266869199455,-1.57038444037578
"LBR",2013,0,-2.04514025252278,-0.527100378176467,-1.87389623187783
"LBR",2014,0,-2.23708170749035,-0.386299740293182,-1.73815410325925
"LBR",2015,0,-2.10304990830382,-0.473537754364968,-1.59564392250249
"LBR",2016,0,-1.8344325662905,-0.731529268276425,-1.78681065382613
"LBR",2017,0,-2.06556398145269,-0.551295378704569,-1.69269867314103
"LBR",2018,0,-1.78241801614974,-0.582030728677577,-1.53225527634552
"LBR",2019,0,-2.12960015640094,-0.568974318467614,-1.37657952719971
"LBR",2020,0,-2.00250999669142,-0.351221581382233,-1.77067553297282
"LBR",2021,0,-2.07895697886046,-0.648704967733346,-1.53305466607595
"LBY",1990,0,-2.16545113315256,-0.944175985431246,-0.818863638923222
"LBY",1991,0,-2.24166390684308,-0.683634769728095,-1.22619566493219
"LBY",1992,0,-2.35494167811046,-0.781389596235465,-0.874609296800911
"LBY",1993,0,-2.30410645253046,-0.822960978794242,-0.884094967049027
"LBY",1994,0,-2.39603110565853,-0.834560165084049,-0.874038673328297
"LBY",1995,1,-2.41869442056947,-0.583022234757907,-0.86933849647436
"LBY",1996,0,-2.4047985668215,-0.566642352957126,-1.07152156046285
"LBY",1997,0,-2.46288769283734,-0.561171640263108,-1.03217859448851
"LBY",1998,0,-2.59782420682418,-0.410399229826072,-0.910889395646645
"LBY",1999,0,-2.69482883672354,-0.401781506923567,-0.719320057241101
"LBY",2000,1,-2.51500758441285,-0.360805342491938,-1.12070704198963
"LBY",2001,0,-2.54900860173369,-0.572518718602825,-0.826604643318844
"LBY",2002,0,-2.07279679558485,-0.684183460366109,-0.878030605686453
"LBY",2003,0,-1.94861670543551,-0.841170660765436,-0.730778819526355
"LBY",2004,0,-1.89411685447967,-0.676855686379402,-1.05757241110873
"LBY",2005,0,-1.94611685839419,-0.735138181294133,-1.00117331234183
"LBY",2006,0,-1.87862946599203,-0.718390133881831,-1.16511567306626
"LBY",2007,0,-1.83164054302617,-0.95278524737816,-0.874358962194744
"LBY",2008,0,-1.82693268219011,-0.818326233603705,-1.10496308972502
"LBY",2009,0,-1.78714338427912,-0.890409549388147,-1.21453529972246
"LBY",2010,0,-1.87538730662829,-0.610739823649237,-1.28327322212941
"LBY",2011,1,-2.26199297282317,-0.430772043388848,-1.01105125019702
"LBY",2012,1,-1.87398321584682,-1.01001450141016,-0.603612701574824
"LBY",2013,1,-1.79871691957619,-0.751344695462149,-1.22999622923915
"LBY",2014,1,-2.09894569101715,-0.722630301921593,-0.958420707793129
